outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_fsalaryx,Gini coefficient - salary income,4,sh_rr,Quarterly Frequency,-.0071523713901022,.0026763375740104,-.0123979930351626,-.0019067497450418
gini_fsalaryx,Gini coefficient - salary income,5,sh_rr,Quarterly Frequency,-.001710207943105,.0031581969173758,-.0079002739011616,.0044798580149516
gini_fsalaryx,Gini coefficient - salary income,6,sh_rr,Quarterly Frequency,-.0008581520714026,.0030659727253107,-.0068674586130116,.0051511544702064
gini_fsalaryx,Gini coefficient - salary income,7,sh_rr,Quarterly Frequency,-.0058089354225321,.0044720559827793,-.0145741651487795,.0029562943037153
gini_fsalaryx,Gini coefficient - salary income,8,sh_rr,Quarterly Frequency,-.0038766979402723,.0024995175308918,-.0087757523008202,.0010223564202756
gini_fsalaryx,Gini coefficient - salary income,9,sh_rr,Quarterly Frequency,-.0022649879810583,.0018945829117923,-.0059783704881712,.0014483945260546
gini_fsalaryx,Gini coefficient - salary income,10,sh_rr,Quarterly Frequency,.0043063172340904,.0022181567848243,-.0000412700641652,.008653904532346
gini_fsalaryx,Gini coefficient - salary income,11,sh_rr,Quarterly Frequency,.010664970892968,.0042630932752502,.0023093080734776,.0190206337124584
gini_fsalaryx,Gini coefficient - salary income,12,sh_rr,Quarterly Frequency,.0064599933824276,.0039244387546361,-.0012319065766592,.0141518933415144
gini_fsalaryx,Gini coefficient - salary income,13,sh_rr,Quarterly Frequency,.0038181259759291,.0043597910464451,-.0047270644751033,.0123633164269615
gini_fsalaryx,Gini coefficient - salary income,14,sh_rr,Quarterly Frequency,.0079649684854412,.0026524924131011,.002766083355763,.0131638536151194
gini_fsalaryx,Gini coefficient - salary income,15,sh_rr,Quarterly Frequency,-.002664871796612,.0031193911012981,-.0087788783551563,.0034491347619323
gini_fsalaryx,Gini coefficient - salary income,16,sh_rr,Quarterly Frequency,-.005944594163728,.0024086384628771,-.0106655255509671,-.0012236627764889
gini_fsalaryx,Gini coefficient - salary income,17,sh_rr,Quarterly Frequency,.0034784258520083,.0026987132755823,-.001811052168133,.0087679038721496
gini_fsalaryx,Gini coefficient - salary income,18,sh_rr,Quarterly Frequency,.0013549670320502,.0021313660495031,-.0028225104249759,.0055324444890763
gini_fsalaryx,Gini coefficient - salary income,19,sh_rr,Quarterly Frequency,.0052605074681017,.0023269647650152,.0006996565286719,.0098213584075315
gini_fsalaryx,Gini coefficient - salary income,20,sh_rr,Quarterly Frequency,.0054528244919373,.0027744074217223,.0000149859453616,.010890663038513
